dataset,task,n,model,target,cfg_source,flash_bytes,ram_bytes,insns_per_inf,latency_us,determinism_insns,n_test,n_correct,explain_insns_per_inf,explain_latency_us,explain_agree,params
spambase,bin,4601,DTree-d6,cortex-m4f,recovered,186,0,42.875,0.42875,10,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0}"
spambase,bin,4601,RF-20,cortex-m0,recovered,4150,0,717.1884766,14.9414266,210,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 20}"
spambase,bin,4601,RF-20,cortex-m4f,recovered,3474,0,436.0625,4.360625,129,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 20}"
spambase,bin,4601,RF-40,cortex-m0,recovered,19336,0,1875.563477,39.0742391,64,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 1}"
spambase,bin,4601,RF-40,cortex-m4f,recovered,14950,0,1132.9375,11.329375,24,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 1}"
spambase,bin,4601,LinearSVM,cortex-m0,recovered,292,0,11576.37573,241.1744944,217,16,16,,,,"{""C"": 10.0}"
spambase,bin,4601,LinearSVM,cortex-m4f,recovered,284,0,303.3127441,3.033127441,0,16,16,,,,"{""C"": 10.0}"
spambase,bin,4601,LogReg,cortex-m0,recovered,292,0,11603.43823,241.7382965,263,16,16,,,,"{""C"": 1}"
spambase,bin,4601,LogReg,cortex-m4f,recovered,284,0,303.3127441,3.033127441,0,16,16,,,,"{""C"": 1}"
spambase,bin,4601,GaussianNB,cortex-m0,recovered,1088,0,58747.18823,1223.899755,1268,16,16,,,,"{""var_smoothing"": 1e-07}"
spambase,bin,4601,GaussianNB,cortex-m4f,recovered,1072,0,1056.3125,10.563125,0,16,16,,,,"{""var_smoothing"": 1e-07}"
phoneme,bin,5404,DTree-d3,cortex-m0,recovered,206,0,92.50097656,1.927103678,6,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0001}"
phoneme,bin,5404,DTree-d3,cortex-m4f,recovered,190,0,41.8125,0.418125,5,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0001}"
phoneme,bin,5404,DTree-d6,cortex-m0,recovered,506,0,101.8134766,2.121114095,16,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.001}"
phoneme,bin,5404,DTree-d6,cortex-m4f,recovered,408,0,50.3125,0.503125,12,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.001}"
phoneme,bin,5404,RF-20,cortex-m0,recovered,9196,0,800.8759766,16.68491618,90,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5}"
