dataset,task,n,d_enc,model,track,fold,auc,acc,fit_s,lat_us,size,params
adult,bin,48842,70,GA2M,tuned,2,0.9257637738309262,0.8697174447174447,123.74296832084656,0.5008401097478093,11122,"{""interactions"": 20, ""max_bins"": 256, ""learning_rate"": 0.01}"
adult,bin,48842,70,RuleFit,default,2,0.9092658776533582,0.8522113022113023,12.34698247909546,3.484074548069909,138,"{""max_rules"": 60}"
adult,bin,48842,70,RuleFit,tuned,2,0.9111939626333774,0.8556511056511057,24.7610445022583,6.235304862919838,277,"{""max_rules"": 120, ""tree_size"": 4}"
adult,bin,48842,70,FIGS,default,2,0.8929452633030036,0.8508599508599508,0.5399160385131836,1.91799545756722,20,"{""max_rules"": 20}"
adult,bin,48842,70,FIGS,tuned,2,0.8970348826663584,0.8544840294840295,1.6001920700073242,2.8652406734682123,40,"{""max_rules"": 40}"
adult,bin,48842,70,L1-GAM,default,2,0.8370814730436578,0.8161547911547912,1.050105333328247,1.6620469620538283,44,{}
adult,bin,48842,70,L1-GAM,tuned,2,0.8422149034273207,0.8243857493857494,1.0027287006378174,1.837887986579164,50,"{""C"": 0.03, ""n_bins"": 32}"
bank-marketing,bin,45211,51,LogReg,default,0,0.906642714748493,0.9019308605931924,0.1831696033477783,0.028127412490384,52,{}
bank-marketing,bin,45211,51,LogReg,tuned,0,0.9069034341652998,0.9014663924092629,0.1829891204833984,0.0280166746459337,52,"{""C"": 0.1}"
bank-marketing,bin,45211,51,DecisionTree,default,0,0.7824742293966023,0.9016654502023754,0.0585777759552001,0.0279692155697407,31,"{""max_depth"": 4}"
bank-marketing,bin,45211,51,DecisionTree,tuned,0,0.8735529795323538,0.9008028664322209,0.1082785129547119,0.0397707058497331,121,"{""max_depth"": 8, ""min_samples_leaf"": 20, ""ccp_alpha"": 0.0001}"
bank-marketing,bin,45211,51,RandomForest,default,0,0.9298282235396432,0.9062437794439652,1.3502066135406494,4.591238489986913,1819286,"{""n_estimators"": 300}"
bank-marketing,bin,45211,51,RandomForest,tuned,0,0.9302348171111045,0.9088978833521332,4.952753067016602,4.997504001891049,673090,"{""n_estimators"": 400, ""max_features"": 0.6, ""min_samples_leaf"": 5, ""max_depth"": 20}"
bank-marketing,bin,45211,51,HistGB,default,0,0.9348282013761484,0.9096277619268794,0.4176547527313232,1.8512520047523755,2883,{}
bank-marketing,bin,45211,51,HistGB,tuned,0,0.9346794502294008,0.9080352995819786,0.3990480899810791,1.8122248244296657,2697,"{""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 31, ""l2_regularization"": 1.0, ""min_samples_leaf"": 10}"
bank-marketing,bin,45211,51,XGBoost,default,0,0.9329062427915364,0.9103576405016256,0.3240747451782226,0.7569089865100762,11564,"{""n_estimators"": 300, ""learning_rate"": 0.1, ""max_depth"": 6}"
bank-marketing,bin,45211,51,XGBoost,tuned,0,0.933426488206208,0.9076371839957534,0.7254245281219482,1.6178957271113994,14161,"{""n_estimators"": 1000, ""learning_rate"": 0.03, ""max_depth"": 4, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_lambda"": 10, ""min_child_weight"": 1}"
bank-marketing,bin,45211,51,EBM,default,0,0.9155095191357056,0.9023289761794174,7.986595869064331,0.2450786694606467,2675,{}
bank-marketing,bin,45211,51,EBM,tuned,0,0.9154920440726204,0.902461681374826,11.446653366088867,0.2848335556183154,1063,"{""max_bins"": 256, ""learning_rate"": 0.01, ""max_rounds"": 5000, ""min_samples_leaf"": 2}"
bank-marketing,bin,45211,51,GA2M,default,0,0.9244683872699024,0.9047176696967686,16.292459726333618,0.3563702031332293,7531,"{""interactions"": 10}"
bank-marketing,bin,45211,51,GA2M,tuned,0,0.9221584396626988,0.9040541437197266,5.848678588867188,0.3608946350636285,2095,"{""interactions"": 5, ""max_bins"": 256, ""learning_rate"": 0.05}"
bank-marketing,bin,45211,51,RuleFit,default,0,0.9049034771283816,0.8966890053745604,11.38835835456848,3.198615177871616,123,"{""max_rules"": 60}"
bank-marketing,bin,45211,51,RuleFit,tuned,0,0.908834897479346,0.8986132307079823,9.233857870101929,2.543553368871716,95,"{""max_rules"": 60, ""tree_size"": 3}"
bank-marketing,bin,45211,51,FIGS,default,0,0.8673163852499557,0.8970207683630814,0.7446346282958984,2.614789442237407,20,"{""max_rules"": 20}"
bank-marketing,bin,45211,51,FIGS,tuned,0,0.8894839289943008,0.9029261495587552,0.6405165195465088,2.3043438051669365,20,"{""max_rules"": 20}"
